,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
ALTCOM,AltCommunity Coin,SkunkHash,TRUE,PoW/PoS,0,5000000
PURE,Pure,X11,TRUE,PoW/PoS,0,3686860
RUPX,Rupaya,Quark,TRUE,PoS,0,75000000
XIN,Infinity Economics,SHA-256,TRUE,PoS,8999999990,9000000000
HNCN,Huncoin,X13,FALSE,PoW,,86400000
MADC,MadCoin,Scrypt,TRUE,PoW,,10000000
PURA,Pura,X11,TRUE,PoW,175215859,350000000
INN,Innova,NeoScrypt,TRUE,PoW,6375259.04,45000000
BDL,Bitdeal,Scrypt,TRUE,PoW,0,300000000
WSC,WiserCoin,Scrypt,FALSE,PoW,,22105263
MSR,Masari,CryptoNight,TRUE,PoW,,18500000
ELLA,Ellaism,Ethash,TRUE,PoW,12756367,280000000
SKR,Sakuracoin,Scrypt,TRUE,PoW,0,105100000
ISH,Interstellar Holdings,Scrypt,FALSE,PoS,0,1970000000
GBX,GoByte,NeoScrypt,TRUE,PoW,5832306.875,31800000
CSTL,Castle,Quark,TRUE,DPoS,0,50000000
ICC,Insta Cash Coin,SHA-256,FALSE,PoW,0,300000000
ALQO,Alqo,Quark,FALSE,PoW/PoS,65269530.1,57879300
KNGN,KingN Coin,Scrypt,FALSE,PoW/PoS,,420000
MAG,Magnet,X11,TRUE,PoW/PoS,38198594.83,144000000
TAU,Lamden Tau,DPoS,TRUE,DPoS,288090567.5,500000000
ECA,Electra,NIST5,TRUE,PoW/PoS,28399150208,30000000000
BCD,Bitcoin Diamond,X13,TRUE,PoW/PoS,183534024.9,210000000
VOT,Votecoin,Equihash,TRUE,PoW,,220000000
XSH,SHIELD,Multiple,TRUE,PoW,481730566.6,660000000
BCO*,BridgeCoin,Scrypt,FALSE,PoW,0,27000000
DSR,Desire,NeoScrypt,TRUE,PoW,,22000000
MUT,Mutual Coin,Scrypt,FALSE,PoW/PoS,0,1000000000
CNBC,Cash & Back Coin,Scrypt,TRUE,PoW/PoS,110976977.3,210000000
XUN,UltraNote,CryptoNight,TRUE,PoW,19281821413,85000000000
MAN,People,Scrypt,TRUE,PoW,,7500000000
ACHN,Achain,DPoS,TRUE,DPoS,,1000000000
NRO,Neuro,SHA-256,FALSE,PoW/PoS,,20000000
SEND,Social Send,Quark,TRUE,PoW/PoS,,150000000
COAL,BitCoal,CryptoNight,TRUE,PoW,4500000,12500000
DAXX,DaxxCoin,Ethash,TRUE,PoW,520891780,10000000000
BWK,Bulwark,NIST5,TRUE,PoS,13247178.88,27716121
BOXY,BoxyCoin,Scrypt,FALSE,PoW,5761512.81,100000000
SBTC,Super Bitcoin,SHA-256,TRUE,PoW,,21210000
KLKS,Kalkulus,Quark,TRUE,PoS,16955764.9,20000000
AC3,AC3,X11,TRUE,PoW,80316207,550000000
CHIPS,CHIPS,SHA-256,TRUE,PoW,0,21000000
LTHN,Lethean,CryptoNight-V7,TRUE,PoW,441250233.4,999481516
GER,GermanCoin,Scrypt,TRUE,PoW/PoS,4911500269,50000000000
LTCU,LiteCoin Ultra,Scrypt,TRUE,PoW/PoS,8419402.321,150000000
STAK,Straks,Lyra2REv2,TRUE,PoW,,150000000
POP,PopularCoin,Scrypt,TRUE,PoW,3964201249,4999999999
PNX,PhantomX,X11,TRUE,PoW/PoS,45174214.11,50000000
HBC,HomeBlockCoin,X11,FALSE,PoW/PoS,0,28000000
HTML,HTML Coin,SHA-256,TRUE,PoW/PoS,0,90000000000
PHO,Photon,BLAKE256,TRUE,PoW,30089671531,90000000000
SUCR,Sucre,X11,TRUE,PoW,4229040.504,19800000
ACCO,Accolade,Scrypt,FALSE,PoW/PoS,5573908,50000000
CPN,CompuCoin,Scrypt,TRUE,PoW,,35000000
XFT,Fantasy Cash,Scrypt,TRUE,PoW/PoS,0,4600000
OMGC,OmiseGO Classic,Scrypt,FALSE,PoW/PoS,49933217.75,70000000
ORE,Galactrum,Lyra2REv2,TRUE,PoW/PoS,,26280000
SPK,SparksPay,NeoScrypt,TRUE,PoW,7847417.334,21000000
GOA,GoaCoin,NeoScrypt,FALSE,PoW,3982139.246,32000000
WAGE,Digiwage,Quark,TRUE,PoS,27299680,120000000
GUN,GunCoin,NeoScrypt,TRUE,PoW,299797953,500000000
POLIS,PolisPay,X11,TRUE,PoW,,25000000
IRL,IrishCoin,Scrypt,TRUE,PoW,45483049.34,64000000
TROLL,Trollcoin,Scrypt,TRUE,PoW/PoS,591022748,900000000
LCP,Litecoin Plus,Scrypt,TRUE,PoW/PoS,2504486.228,4000000
TGCC,TheGCCcoin,X13,TRUE,PoW/PoS,,2400000000
MONK,Monkey Project,X11,TRUE,PoS,4407252,21000000
KZC,KZCash,X11,TRUE,PoW,,18000000
WCG,World Crypto Gold,SHA-256,TRUE,Proof of Stake,,900000000
ECC,ECC,Scrypt,FALSE,PoS,25000000000,25000000000
STN,Steneum Coin,Scrypt,TRUE,PoW,,20000000
PCOIN,Pioneer Coin,X11,TRUE,PoW,8478104.34,23000000
UBTC,UnitedBitcoin,SHA-256,TRUE,PoW,20166000,20166000
ITZ,Interzone,C11,TRUE,PoW,11916588.09,23000000
XBP,Black Pearl Coin,X13,TRUE,PoW/PoS,,50000000
SGL,Sigil,NeoScrypt,FALSE,PoW,0,50000000
OPC,OP Coin,Scrypt,TRUE,PoW/PoS,0,2000000000
SHA,Shacoin,SHA-256,TRUE,PoS,,350000000
BTW,BitWhite,DPoS,TRUE,DPoS,,60000000
CROAT,Croat,CryptoNight,TRUE,PoW,,100467441
VAL,Valorbit,Scrypt,TRUE,PoW/PoS,0,9.22E+16
TPAY,TokenPay,POS 3.0,TRUE,PoS,20445861.53,25000000
CVNG,Crave-NG,SHA-256,TRUE,PoS,,1000000000
MCT,1717 Masonic Commemorative Token,Ethash,TRUE,PoS,1618033,1618033
CWIS,Crypto Wisdom Coin,Scrypt,FALSE,PoW,17630550.21,24000000
MBC,My Big Coin,Scrypt,TRUE,PoW and PoS,9399342.528,30000000
WOBTC,WorldBTC,Scrypt,FALSE,PoW/PoS,,210000000
TRTL,TurtleCoin,CryptoNight,TRUE,PoW,53139835214,1.00E+12
NDLC,NeedleCoin,X11,FALSE,PoS/PoW,,120000000
MUN,MUNcoin,SkunkHash,TRUE,PoW,4818338.989,16600000
USX,Unified Society USDEX,Scrypt,TRUE,PoW/PoS,234846265.8,232000000
BCA,Bitcoin Atom,SHA-256,TRUE,PoW/PoS,,21000000
B2X,SegWit2x,X11,TRUE,PoW/PoS,,21000000
NBR,Niobio Cash,CryptoNight,TRUE,PoW,133932467.8,336000000
SCOOBY,Scooby coin,Scrypt,TRUE,PoW/PoS,,21000000
BUN,BunnyCoin,Scrypt,TRUE,PoW,,1.00E+11
BSR,BitSoar Coin,X11,FALSE,PoS,3680297312,3980000000
SKULL,Pirate Blocks,X11,TRUE,PoW/PoS,,240000000
BTCP,Bitcoin Private,Equihash,TRUE,PoW,0,21000000
SKC,Skeincoin,Skein,TRUE,PoW,0,17000000
KRM,Karma,Groestl,TRUE,PoS,,3000000000
CDY,Bitcoin Candy,Equihash,TRUE,PoW,,21000000000
SSS,ShareChain,Scrypt,TRUE,PoW,10000000000,10000000000
CRDNC,Credence Coin,SHA-256,FALSE,PoW/PoS,3427006,25000000
TRF,Travelflex,Dagger,TRUE,PoW,107325266,100000000
KREDS,KREDS,Lyra2REv2,TRUE,PoW,643795911.5,1100000000
VULC,Vulcano,NIST5,TRUE,PoS/PoW,,421126225
TOKC,Tokyo Coin,X13,TRUE,PoS,230298925,800000000
BBP,BiblePay,Proof-of-BibleHash,TRUE,POBh,1772091550,5200000000
LCC,LitecoinCash,SHA-256 + Hive,TRUE,PoW + Hive,638382332.2,840000000
FLIP,BitFlip,Scrypt,TRUE,PoW,12446100,40000000
LOT,LottoCoin,Scrypt,TRUE,PoW,14491014421,18406979840
FUNK,Cypherfunks Coin,Scrypt,TRUE,PoW,,49275000000
LEAF,LeafCoin,Scrypt,TRUE,PoW,0,21000000000
BASHC,BashCoin,Skein,FALSE,PoW/PoS,11661844.47,72000000
DGM,DigiMoney,X11,FALSE,PoW/PoS,3521630,25000000
CBS,Cerberus,NeoScrypt,TRUE,PoW,0,31500000
BTCH,Bitcoin Hush,Equihash,TRUE,PoW,0,21000000
LIZ,Lizus Payment,Skein,FALSE,PoW/PoS,2985971,69000000
CIF,Crypto Improvement Fund,X11,TRUE,PoW,211297638.5,500000000
SPD,Stipend,C11,TRUE,PoW/PoS,11251342.19,19340594
POA,Poa Network,Proof-of-Authority,TRUE,PoA,204479039,252460800
PUSHI,Pushi,X11,TRUE,PoW/PoS,2167827.1,25000000
POKER,PokerCoin,Scrypt,FALSE,PoS/PoW,0,466666667
ELP,Ellerium,XEVAN,TRUE,PoW/PoS,419275.38,60000000
VLX,Velox,Scrypt,TRUE,PoS,25570013.13,124000000
ONT,Ontology,VBFT,TRUE,PoS,650848625,1000000000
CLO,Callisto Network,Ethash,TRUE,PoW,247612453,6500000000
CRU,Curium,X11,TRUE,PoW,0,22000000
ELIC,Elicoin,YescryptR16,TRUE,PoW,,10000000
TUBE,BitTube,CryptoNight,TRUE,PoW,80049082.91,1000000000
DIN,Dinero,NeoScrypt,TRUE,PoW,0,100000000
PSD,Poseidon,Scrypt,TRUE,PoW,4070212.149,21000000
LELE,Lelecoin,Curve25519,TRUE,PoS,,1000000000
AKA,Akroma,Ethash,TRUE,PoW,,100000000
MANNA,Manna,SHA-256,FALSE,PoW,2360478329,10044655076
ADK,Aidos Kuneen,IMesh,TRUE,PoW,25000000,25000000
SERA,Seraph,PHI1612,FALSE,PoW/PoS,1360250,32000000
AET,AfterEther,Ethash,FALSE,PoW,,200000000
CMOS,Cosmo,Quark,FALSE,PoW,8928876.686,11892000
REDN,Reden,X16S,FALSE,PoW,0,14000000
TLP,TulipCoin,Scrypt,TRUE,PoW/PoS,,5250000000
BSX,Bitspace,NIST5,TRUE,PoW/PoS,13787854.63,50000000
FNO,Fonero,PHI1612,TRUE,PoW,,18400000
XSG,Snowgem,Equihash,TRUE,PoW,0,84096000
CVTC,CavatCoin,DPoS,FALSE,DPoS,,21000000
XTL,Stellite,CryptoNight,FALSE,PoW,,21000000000
BRIA,Briacoin,Scrypt,TRUE,PoW/PoS,845637.8135,3000000
IC,Ignition,Scrypt,TRUE,PoW/PoS,1182153.5,5000000
MNB,MoneyBag,X11,FALSE,PoS,,50000000
BTL,Bitrolium,Equihash,TRUE,PoW,71355477,70000000
BCI,Bitcoin Interest,Equihash,TRUE,PoW,0,22300000
MEDIC,MedicCoin,Scrypt,TRUE,PoS,267297676.3,500000000
FLM,FOLM coin,PHI1612,FALSE,PoW,0,23001916
ALPS,Alpenschillling,Lyra2Z,TRUE,PoW,27340501.65,300000000
ZEL,Zelcash,Equihash,TRUE,PoW/PoS,0,210000000
BITG,Bitcoin Green,Green Protocol,TRUE,PoS,9803691.362,21000000
DEV,Deviant Coin,PoS,TRUE,PoS,21876586.85,88000000
ABJ,Abjcoin,Scrypt,TRUE,PoW/PoS,9880502.372,30000000
RAP,Rapture,NeoScrypt,FALSE,PoW,4478901.292,21000000
ANI,Animecoin,Quark,TRUE,PoW,,1976000000
PHC,Profit Hunters Coin,Scrypt,TRUE,PoW/PoS,0,100000000
SEM,Semux,Semux BFT consensus,TRUE,DPoS,1231147,100000000
BBK,BitBlocks,Scrypt,TRUE,PoW/PoS,0,500000000
UWC,Uwezocoin,Scrypt,FALSE,PoW,0,840000000
FTO,FuturoCoin,X11,TRUE,PoW,31801461.19,100000000
CARE,Carebit,Quark,TRUE,PoW/PoS,139739596.5,200000000
NZL,Zealium,PoS,TRUE,PoS,11075254.09,80000000
XMC,Monero Classic,CryptoNight,TRUE,PoW,16016864,18400000
TIPS,FedoraCoin,Scrypt,TRUE,PoW,,5.00E+11
CHARM,Charm Coin,NeoScrypt,TRUE,PoW,,250000000
PROTON,Proton,X16R,TRUE,PoS,4403800,45000000
DERO,Dero,CryptoNight,TRUE,PoW,,18400000
DEAL,iDealCash,Scrypt,TRUE,PoW/PoS,1404157529,5121951220
JUMP,Jumpcoin,NIST5,TRUE,PoW,21069346.25,21000000
INFX,Infinex,Lyra2RE,TRUE,PoW,5097689.711,26280000
XBI,Bitcoin Incognito,XEVAN,TRUE,PoS/PoW,10904963.09,21000000
KEC,KEYCO,Tribus,TRUE,PoW,795447,18000000
SABR,SABR Coin,Scrypt,TRUE,PoW/PoS,,133100000
HWC,HollyWoodCoin,Scrypt,TRUE,PoS,38706809.47,26000000
GIN,GINcoin,Lyra2Z,TRUE,PoW,6986399.704,10500000
XMV,MoneroV,CryptoNight,TRUE,PoW,,256000000
PAR,Parlay,Scrypt,FALSE,PoS,3783270,30000000
LTCC,Listerclassic Coin,Scrypt,FALSE,PoW/PoS,8094818.389,110000000
AMX,Amero,NeoScrypt,TRUE,PoW/PoS,,15000000
PLTC,PlatinCoin,CryptoNight,TRUE,PoW,84300,600000518
KNG,BetKings,X11,FALSE,PoS,11359634.65,8148139
COG,Cognitio,SHA-256D,FALSE,PoW/PoS,658584.4616,7500000
BEN,BitCOEN,SHA-256,TRUE,Limited Confidence Proof-of-Activity ,,100000000
LOKI,Loki,CryptoNight Heavy,TRUE,PoW,19153632,150000000
NCP,Newton Coin,CryptoNight,TRUE,PoW,41294520017,1.84E+11
STAX,Staxcoin,Scrypt,TRUE,PoW/PoS,,43500000
MRN,Mercoin,Scrypt,FALSE,PoW/PoS,25330252.32,100000000
SIC,Swisscoin,Scrypt,TRUE,PoW/PoS,10200000000,10200000000
EXCC,ExchangeCoin,Equihash,FALSE,PoW,0,32000000
REL,Reliance,X11,FALSE,PoS,7256580,62000000
BTCN,BitcoiNote,CryptoNight,TRUE,PoW,,21000000
XT3,Xt3ch,Scrypt,TRUE,PoS,7630000.015,44000000
MGD,MassGrid,Jump Consistent Hash,TRUE,PoW,135862416,168000000
VIG,TheVig,SHA-256D,TRUE,PoW/PoS,33238183.72,100000000
PLURA,PluraCoin,CryptoNight,TRUE,PoW,560085952.4,1000000000
EMAR,EmaratCoin,Scrypt,TRUE,PoW/PoS,21599339.67,84000000
XTNC,XtendCash,Wild Keccak,FALSE,PoW,,100000000
ROE,Rover Coin,X11,TRUE,PoW/PoS,,60000000
LTCP,LitecoinPro,Scrypt,TRUE,PoW,,17500000
DKD,Dekado,X15,TRUE,PoS,30284196.37,90000000
LYNX,Lynx,Scrypt,TRUE,HPoW,77872059788,92000000000
POSQ,Poseidon Quark,Quark,TRUE,PoS,2716264.953,650000000
YCE,MYCE,Scrypt,FALSE,PoW/PoS,63613903.88,250000000
ARO,Arionum,SHA-512,FALSE,PoW,60045900,545399000
BWS,BitcoinWSpectrum,SHA-256,TRUE,PoS,57811001,100262205
BTCC,Bitcoin Core,SHA-256,TRUE,PoW,,21000000
GOLF,GolfCoin,SHA-256D,FALSE,PoW/PoS,0,1713134800
MUSE,Muse,DPoS,TRUE,PoS,18194936,18081806
XMN,Motion,X16R,TRUE,PoW,8125865.021,22075700
PLUS1,PlusOneCoin,HMQ1725,TRUE,PoW,8645406.168,21000000
AXE,Axe,X11,TRUE,PoW,4993030.697,21000000
GMCN,GambleCoin,Scrypt,FALSE,PoS,8240763.495,15600000
TRVC,Trivechain,X16R,TRUE,PoW/PoS,36923120.62,82546564
DTEM,Dystem,Quark,TRUE,PoS,7082392.247,21000000
GIC,Giant,Quark,TRUE,PoW/PoS,5919489.768,5151000
PNY,Peony Coin,Scrypt,TRUE,PoS,1042012.452,16880000000
SAFE,SafeCoin,Zhash,TRUE,PoW/PoS,0,36000000
ABS,Absolute Coin,Lyra2REv2,TRUE,PoW/PoS,13332617.94,52500000
VITAE,Vitae,Quark,TRUE,PoS,66053877.63,100000000
BSPM,Bitcoin Supreme,Scrypt,TRUE,PoS,,21000000
XGS,GenesisX,XEVAN,FALSE,PoS,0,19000000
BIM,BitminerCoin,CryptoNight,FALSE,PoW,0,50000000
HEX,HexCoin,Scrypt,TRUE,PoW,1416663.066,22105263
DEI,Deimos,Scrypt,FALSE,PoW,269143950.6,1000000000
TPC,TPCash,Scrypt,TRUE,PoW/PoS,5403802.496,1000000000
OYS,Oyster Platform,X11,FALSE,PoS,,25000000
WEBC,Webchain,CryptoNight-V7,TRUE,PoW,15580199.31,1750000000
RYO,Ryo,Cryptonight-GPU,TRUE,PoW,4890897,88188888
MUSD,MUSDcoin,Scrypt,TRUE,PoW/PoS,0,100000000
URALS,Urals Coin,XEVAN,TRUE,PoW,14746153.1,210000000
QWC,Qwertycoin,CryptoNight Heavy,TRUE,PoW,99553110529,1.84E+11
BITN,Bitcoin Nova,CryptoNight,FALSE,PoW,484454200,1000000000
ARE,ARENON,X11,TRUE,PoS,19269509.94,55000000
DACASH,DACash,X11,FALSE,PoW,26709236.76,50000000
EUNO,EUNO,X11,TRUE,PoW/PoS,30771125.98,50000000
MMO,MMOCoin,Scrypt,TRUE,PoS,107763867.9,260000000
DASC,DasCoin,DPoS,TRUE,DPoS,,8589934592
KETAN,Ketan,PoS,TRUE,PoS,9327131.597,210000000
NIX,NIX,Lyra2REv2,TRUE,PoW,0,175000000
ITA,Italocoin,CryptoNight Heavy,FALSE,PoW,,18446744
XSTC,Safe Trade Coin,Scrypt,TRUE,PoS,0,840000000
PPAI,Project Pai,SHA-256,TRUE,PoW,2100000000,2100000000
MBLC,Mont Blanc,Scrypt,TRUE,PoS,0,70000000
XDNA,XDNA,Keccak,TRUE,PoW/PoS,4672513.844,366000000
PAXEX,PAXEX,X11,TRUE,PoS,4504639,100000000
DIT,Ditcoin,CryptoNight,TRUE,PoW,,37000000
AZART,Azart,X11,TRUE,PoW,5015881.373,25000000
AOP,Averopay,Tribus,FALSE,PoW/PoS,1859475.61,36500000
XAP,Apollon,Quark,TRUE,PoW/PoS,0,250000000
TSC,ThunderStake,Scrypt,TRUE,PoW/PoS,1059954080,18000000000
SPLB,SimpleBank,NeoScrypt,FALSE,PoW/PoS,2381470.978,21000000
HMN,Harvest Masternode Coin,Scrypt,TRUE,PoW/PoS,,10000000
KCASH,Kcash,SHA-512,TRUE,Zero-Knowledge Proof,1000000000,1000000000
XCG,Xchange,X16R,TRUE,PoW,9753753.615,100000000
AAC,Acute Angle Cloud,ECC 256K1,TRUE,DPOS,1000000000,1000000000
KST,StarKST,Scrypt,TRUE,PoW,,6000000000
AUK,Aukcecoin,Scrypt,TRUE,PoW/PoS,,80000000
PLAN,Plancoin,Scrypt,TRUE,PoW/PoS,,35000000
TRAID,Traid,NeoScrypt,TRUE,PoW/PoS,0,252000000
TCHB,Teachers Blockchain,Scrypt,TRUE,PoW,,160000000
MIODIO,MIODIOCOIN,Scrypt,TRUE,PoW,,80000000
LTPC,Lightpaycoin,Quark,TRUE,PoS,,21000000
HANA,Hanacoin,Lyra2REv2,FALSE,PoW,,122500000
BTV,Bitvote,CryptoNight,TRUE,PoW/PoS,,21000000
CRYP,CrypticCoin,Equihash,TRUE,PoW,4235111504,7600000000
BTXC,Bettex coin,XEVAN,TRUE,PoS,6787405.18,50000000
ZEST,ZestCoin,Quark,TRUE,PoW,0,29300000
XCASH,X-CASH,CryptoNight Heavy X,TRUE,PoW,0,1.00E+11
BRAZ,Brazio,HMQ1725,FALSE,PoW,75579791.71,207000000
ACM,Actinium,Lyra2Z,TRUE,PoW,13634850,84000000
LTZ,Litecoinz,Equihash,TRUE,PoW,,84000000
ETHO,ETHER-1,Ethash,TRUE,PoW,0,13666237
TWISTR,TWIST,SHA-512,FALSE,PoS,200000000,200000000
MBTC,MicroBitcoin,Rainforest,TRUE,PoW,,2.10E+11
FOREX,FOREXCOIN,Scrypt,TRUE,PoW,,1000000000
BSV,Bitcoin SV,SHA-256,TRUE,PoW,17992514.65,21000000
DACH,DACH Coin,Quark,FALSE,PoS,14303114.67,38000000
AGM,Argoneum,PHI1612,FALSE,PoW,13969583.38,64000000
ARMS,2Acoin,CryptoNight-V7,FALSE,PoW,,17910000
BITM,BitMoney,XEVAN,TRUE,Pos,208515864.4,70000000000
B2G,Bitcoiin2Gen,Ethash,TRUE,PoW,0,100000000
AUX,Auxilium,Keccak,FALSE,PoA,,300000000
JMC,Junson Ming Chan Coin,X11,TRUE,PoS,17209923728,0
FRED,FREDEnergy,CryptoNight,TRUE,PoW,1867054873,8080000000
ZND,Zenad,Quark,TRUE,POS / MN,0,46000000
NGIN,Ngin,M00N,FALSE,PoW,,360000000
GENX,Genesis Network,Equihash,TRUE,PoW,,4100000000
VTL,Vertical,Lyra2Z,TRUE,PoW,,35000000
C25,C25 Coin,SkunkHash,TRUE,PoW,0,6100000
HERB,HerbCoin,Quark,TRUE,PoW/PoS,35312185.74,54000000
AQUA,Aquachain,Argon2,TRUE,PoW,0,42000000
BBTC,BlakeBitcoin,Blake,FALSE,PoW,20595483.85,21000000
UMO,Universal Molecule,Blake,TRUE,PoW,1578281.313,105120001.4
LIT,Lithium,Blake,TRUE,PoW,15846721.25,25228800
ELT,Electron,Blake,FALSE,PoW,24156921.99,7000000000
XNB,Xeonbit,CryptoNight,TRUE,PoW,,18400000
RBTC,Smart Bitcoin,SHA-256,TRUE,PoW,0,20999764
PIRATE,PirateCash,Equihash,TRUE,PoS,13475920,105000000
EXO,Exosis,Exosis,TRUE,PoW,406091.925,21000000
BLTG,Block-Logic,Scrypt,TRUE,PoW,35284717.17,120000000
MIMI,MIMI Money,CryptoNight,FALSE,PoW,,1.00E+18
OWC,Oduwa,Scrypt,TRUE,PoW/PoS,14777549.39,21000000
BEAM,Beam,Equihash,TRUE,PoW,35687520,262800000
GALI,Galilel,Quark,TRUE,PoW/PoS,18265011.25,19035999
ZEX,Zaddex,Equihash,FALSE,PoW,,210000000
BTH,Bithereum,Equihash,TRUE,PoW,25150787.5,30886000
ARQ,ArQmA,CryptoNight-lite,TRUE,PoW,,50000000
VEO,Amoveo,SHA-256,TRUE,PoW,,0
CSPN,Crypto Sports,Quark,TRUE,PoS,1934701.675,13370000
CREDIT,Credit,Scrypt,TRUE,PoW/PoS,30825710000,74800000000
SCRIBE,Scribe Network,Lyra2REv2,FALSE,PoW,6040583.73,32700000
LYTX,LYTIX,QuarkTX,TRUE,PoW/PoS,,100000000
SCA,SiaClassic,Blake2b,FALSE,PoW,,5000000000
LUNES,Lunes,Leased POS,TRUE,LPoS,,150728537.6
SLC,SLICE,QuBit,TRUE,PoW,12925790.42,100000000
DASHP,Dash Platinum,X11,TRUE,PoS,715659.4424,19700000
NSD,Nasdacoin,Scrypt,TRUE,PoW/PoS,20546528.21,84000000
VDL,Vidulum,Equihash1927,TRUE,PoW,0,100000000
BEET,Beetle Coin,XEVAN,TRUE,PoW/PoS,198938144.4,500000000
TTN,Titan Coin,SHA-256D,TRUE,PoW/PoS,896361168,5000000000
AWR,Award,X11,TRUE,PoW/PoS,15420234.54,420000000
BST,BlockStamp,SHA-256,TRUE,PoW,0,105000000
BLAST,BLAST,SHA-256,TRUE,PoW,52293836.63,64000000
ESBC,ESBC,Quark,TRUE,PoS,,30000000
VBK,VeriBlock,SHA-256,TRUE,PoW,,2100000000
XRC,Bitcoin Rhodium,X13,TRUE,PoW,1170292.5,2100000
GLT,GlobalToken,SHA-256,TRUE,PoW,84613100,168000000
INSN,Insane Coin,X11,TRUE,PoW/PoS,23775960.32,30000000
WRT,WRTcoin,X11,TRUE,PoW,,25000000000
ALX,ALAX,DPoS,TRUE,DPoS,1000000000,1000000000
TFC,The Freedom Coin,X11,TRUE,PoS,0,25000000
MPT,Media Protocol Token,Ethash,FALSE,PoW,10000000000,10000000000
AMBER,AmberCoin,X11,TRUE,PoW/PoS,,1000000000
LDOGE,LiteDoge,Scrypt,TRUE,PoW/PoS,15318887081,35000000000
BBR,Boolberry,X11,TRUE,PoW,0,18450000
SLR,SolarCoin,Scrypt,TRUE,PoW,55565076.39,98100000000
TRK,TruckCoin,X11,TRUE,PoW/PoS,242574105.2,0
UFO,UFO Coin,NeoScrypt,TRUE,PoW,3824685012,4000000000
ASN,Ascension Coin,QuBit,TRUE,PoW/PoS,0,0
OC,OrangeCoin,Scrypt,TRUE,PoW/PoS,3537150,200000000
GSM,GSM Coin,X11,TRUE,PoW/PoS,,1800000
BLC,BlakeCoin,Blake,TRUE,PoW,23356790.15,7000000000
BITS,BitstarCoin,Scrypt,TRUE,PoW/PoS,20576532,54256119
NEOS,NeosCoin,SHA-256,TRUE,PoS,4392258.246,21000000
HYPER,HyperCoin,Scrypt,TRUE,PoW/PoS,9631199.993,0
PINK,PinkCoin,X11,TRUE,PoW/PoS,436353624.5,500000000
FCN,FantomCoin ,CryptoNight,TRUE,PoW,0,18400000
XWT,World Trade Funds,X15,TRUE,PoW/PoS,,1000000
CESC,Crypto Escudo,Scrypt,TRUE,PoW,780210700,1000000000
TWLV,Twelve Coin,T-Inside,TRUE,PoW/PoS,,0
ADC,AudioCoin,Scrypt,TRUE,PoW/PoS,980732529,10500000000
LOG,Wood Coin,Skein,TRUE,PoW,,27625814
XCE,Cerium,SHA-256,TRUE,PoW/PoS,,2307925
NKA,IncaKoin,SHA-256,TRUE,PoW/PoS,17939725045,190000000
PIGGY,Piggy Coin,X11,TRUE,PoW/PoS,494240666,1000000000
CRW,Crown Coin,SHA-256,TRUE,PoW,22986929.09,42000000
GEN,Genstake,Scrypt,TRUE,PoW/PoS,60000000,15000000
LTS,Litestar Coin,X11,TRUE,PoW/PoS,,120000000
QCN,Quazar Coin,CryptoNight,TRUE,PoW,0,18446744
SMLY,SmileyCoin,Scrypt,TRUE,PoW,29583989323,50000000000
BTQ,BitQuark,Multiple,TRUE,PoW,,0
PKB,ParkByte,SHA-256,TRUE,PoW/PoS,0,25000000
HNC,Hellenic Coin,Scrypt,TRUE,PoW,,100000000
MI,XiaoMiCoin,Scrypt,TRUE,PoW/PoS,404316475.5,400000000
GRS,Groestlcoin,Groestl,TRUE,PoW,73298203.89,105000000
CPC,CapriCoin,X11,TRUE,PoW/PoS,201364327.4,208000000
CLUB, ClubCoin,Scrypt,TRUE,PoW/PoS,103621876.2,160000000
RADS,Radium,PoS,TRUE,PoS,3821245.742,9000000
BTA,Bata,Scrypt,TRUE,PoW,5052555.92,5000000
PAK,Pakcoin,Scrypt,TRUE,PoW,69684455.44,182000000
CRB,Creditbit ,X11,TRUE,Proof of Trust,16901016.66,16504333
OK,OKCash,SHA-256,TRUE,PoW/PoS,74676064.95,105000000
LSK,Lisk,DPoS,TRUE,DPoS,120012140,159918400
XHI,HiCoin,Scrypt,TRUE,PoS,10000244678,10008835635
XWC,WhiteCoin,Scrypt,TRUE,PoW/PoS,252005564.2,300000000
DOT,Dotcoin,Scrypt,TRUE,PoW,0,890000000
FSC,FriendshipCoin,NeoScrypt,TRUE,PoW/PoS,1120385.005,60168145
THC,The Hempcoin,Scrypt,TRUE,PoW/PoS,0,300000000
FIII,Fiii,SHA3-256,TRUE,DPoC,-5917977548,5000000000
J,JoinCoin,Multiple,TRUE,PoW,3332922.5,2800000
TRI,Triangles Coin,X13,TRUE,PoW/PoS,140777.7534,120000
RAIZER,RAIZER,SHA-256,FALSE,PoW,,1000000000
VOLLAR,Vollar,Equihash+Scrypt,TRUE,PoW,100000000,2100000000
VNTY,VENOTY,Scrypt,FALSE,PoW,,94000000
AX,AlphaX,Scrypt,TRUE,PoS,,2.00E+11
SWI,Swinca,Quark,FALSE,PoW/PoS,,400000000
TCR,TecraCoin,Lyra2Z,FALSE,PoW,40874452.48,210000000
HCXP,HCX PAY,CryptoNight,FALSE,PoW,,2000000000
GEX,Gexan,PHI2,FALSE,PoW/PoS,2233828.13,21000000
EOS,EOS,DPoS,TRUE,DPoS,1020544523,0
AHT,Ahoolee,Ethash,TRUE,PoW,,100000000
RCC,Reality Clash,Ethash,TRUE,PoW,24487944.1,24487944
